"(1, 4)",265.3816774715558
"(1, 20)",252.70661176592282
"(1, 10)",230.472977158589
"(1, 17)",231.75120670597636
"(1, 21)",214.69545819624483
"(1, 25)",373.0010200381068
"(1, 26)",212.02539056460392
"(4, 1)",914.8888204807884
"(4, 20)",326.92577120856856
"(4, 10)",255.39505306056842
"(4, 17)",280.15294090653276
"(4, 21)",393.23007745282325
"(4, 25)",208.85392275250692
"(4, 26)",307.14863929266505
"(20, 1)",284.376711976137
"(20, 4)",299.4017904383021
"(20, 10)",234.6711899795376
"(20, 17)",300.0177019057386
"(20, 21)",281.2946520552856
"(20, 25)",279.8148058426317
"(20, 26)",362.6599829942522
"(10, 1)",354.9946209011931
"(10, 4)",1060.6814438296872
"(10, 20)",337.3237397331336
"(10, 17)",222.1345491493865
"(10, 21)",375.71566291536163
"(10, 25)",233.76896178303883
"(10, 26)",373.16142070763357
"(17, 1)",291.9755768792619
"(17, 4)",279.1112090802086
"(17, 20)",994.113636166059
"(17, 10)",213.56638086838217
"(17, 21)",383.0613960805847
"(17, 25)",303.7145006543268
"(17, 26)",247.82621998699867
"(21, 1)",350.0130548829894
"(21, 4)",300.4510215072272
"(21, 20)",1043.7322602011052
"(21, 10)",354.47151311249615
"(21, 17)",285.10376171165024
"(21, 25)",205.4092315242527
"(21, 26)",359.1749942268656
"(25, 1)",213.53769364235887
"(25, 4)",329.58614567934706
"(25, 20)",345.1358406673188
"(25, 10)",955.3101732643428
"(25, 17)",201.71819513336604
"(25, 21)",290.45228433568025
"(25, 26)",391.0980270761602
"(26, 1)",267.2899411991882
"(26, 4)",218.66638392106762
"(26, 20)",298.62099320780123
"(26, 10)",996.1773700970608
"(26, 17)",362.065834449648
"(26, 21)",315.75768389719735
"(26, 25)",251.9177301581221
